Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
True Conviction,['creatur W control W doubl strike W lifelink .']
Wandering Wolf,"[""creatur W power less W self 's power ca n't block W .""]"
Squadron Hawk,"['fli', 'W self enter W battlefield , W may search W librari W W W three card name name_squadron_hawk , reveal W , put W W W hand , W shuffl .']"
Grozoth,"['defend', 'W self enter W battlefield , W may search W librari W W number W card W W mana valu 9 , reveal W , put W W W hand , W shuffl .', '{ 4 } : self lose defend W end W turn .', 'transmut { 1 } { u } { u }']"
Epiphany at the Drownyard,['reveal W top x plu one card W W librari W separ W W two pile . W oppon choos one W W pile . put W pile W W hand W W W W W graveyard .']
Birthing Pod,"['', ""{ 1 } { g/p } , { W } , sacrific W creatur : search W librari W W creatur card W mana valu equal W 1 plu W sacrif creatur 's mana valu , put W card onto W battlefield , W shuffl . activ W W W sorceri .""]"
Kami of the Waning Moon,"['fli', 'whenev W cast W spirit W arcan spell , target creatur gain fear W end W turn .']"
Nirkana Revenant,"['whenev W tap W swamp W mana , add W addit { b } .', '{ b } : self get +1/+1 W end W turn .']"
Mindleech Ghoul,"['exploit', 'W self exploit W creatur , W oppon exil W card W W hand .']"
Voice of the Blessed,"['whenev W gain life , put W +1/+1 counter W self .', 'W long W self W four W W +1/+1 counter W W , W W fli W vigil .', 'W long W self W ten W W +1/+1 counter W W , W W indestruct .']"
Raise the Alarm,['creat two 1/1 white soldier creatur token .']
Heart Warden,"['{ W } : add { g } .', '{ 2 } , sacrific self : draw W card .']"
Akki Ronin,"['whenev W samurai W warrior W control attack alon , W may discard W card . W W W , draw W card .']"
True Love's Kiss,"['exil target artifact W enchant .', 'draw W card .']"
"Elspeth, Sun's Champion","['+1 : creat three 1/1 white soldier creatur token .', '-3 : destroy W creatur W power 4 W greater .', ""-7 : W get W emblem W `` creatur W control get +2/+2 W W fli . ''""]"
Corpse Appraiser,"['W self enter W battlefield , exil W W one target creatur card W W graveyard . W W card W put W exil W way , look W W top three card W W librari , W put one W W card W W hand W W rest W W graveyard .']"
Rumbling Rockslide,['self deal damag W target creatur equal W W number W land W control .']
Meteorite,"['W self enter W battlefield , W deal 2 damag W W target .', '{ W } : add one mana W W color .']"
Svyelun of Sea and Sky,"['self W indestruct W long W W control W least two W merfolk .', 'whenev self attack , draw W card .', 'W merfolk W control W ward { 1 } .']"
Echoing Decay,['target creatur W W W creatur W W W name W W creatur get -2/-2 W end W turn .']
Anathemancer,"['W self enter W battlefield , W deal damag W target player equal W W number W non-bas land W player control .', 'unearth { 5 } { b } { r }']"
Kaalia of the Vast,"['fli', 'whenev self attack W oppon , W may put W angel , demon , W dragon creatur card W W hand onto W battlefield tap W attack W oppon .']"
Edgar's Awakening,"['return target creatur card W W graveyard W W battlefield .', 'W W discard self , W may pay { b } . W W W , return target creatur card W W graveyard W W hand .']"
Flamerush Rider,"[""whenev self attack , creat W token W 's W copi W anoth target attack creatur W W 's tap W attack . exil W token W end W combat ."", 'dash { 2 } { r } { r }']"
Dominaria's Judgment,"['W end W turn , creatur W control gain protect W white W W control W plain , W blue W W control W island , W black W W control W swamp , W red W W control W mountain , W W green W W control W forest .']"
Past in Flames,"['W instant W sorceri card W W graveyard gain flashback W end W turn . W flashback cost W equal W W mana cost .', 'flashback { 4 } { r }']"
Overblaze,"['W time target perman would deal damag W W perman W player W turn , W deal doubl W damag W W perman W player instead .', 'splice onto arcan { 2 } { r } { r }']"
Primal Bellow,['target creatur get +1/+1 W end W turn W W forest W control .']
Keymaster Rogue,"[""self ca n't W block ."", ""W self enter W battlefield , return W creatur W control W W owner 's hand .""]"
Braingeyser,['target player draw x card .']
Nyxbloom Ancient,"['trampl', 'W W tap W perman W mana , W produc three time W much W W mana instead .']"
Devastation Tide,"[""return W non-land perman W W owner ' hand ."", 'miracl { 1 } { u }']"
Mobilize,['untap W creatur W control .']
Geomancer's Gambit,"['destroy target land . W control may search W librari W W basic land card , put W onto W battlefield , W shuffl .', 'draw W card .']"
Plated Seastrider,[]
Renegade Krasis,"['evolv', 'whenev self evolv , put W +1/+1 counter W W W creatur W control W W +1/+1 counter W W .']"
Grief Tyrant,"['self enter W battlefield W four -1/-1 counter W W .', 'W self die , put W -1/-1 counter W target creatur W W -1/-1 counter W self .']"
Ajani Unyielding,"['+2 : reveal W top three card W W librari . put W non-land perman card reveal W way W W hand W W rest W W bottom W W librari W W order .', '-2 : exil target creatur . W control gain life equal W W power .', '-9 : put five +1/+1 counter W W creatur W control W five loyalti counter W W W planeswalk W control .']"
Drifting Djinn,"['fli', 'W W begin W W upkeep , sacrific self unless W pay { 1 } { u } .', 'cycl { 2 }']"
Subjugator Angel,"['fli', 'W self enter W battlefield , tap W creatur W oppon control .']"
Enhanced Surveillance,"['W may look W W addit two card W time W surveil .', 'exil self : shuffl W graveyard W W librari .']"
Kezzerdrix,"['first strike', 'W W begin W W upkeep , W W oppon control W creatur , self deal 4 damag W W .']"
Pyreheart Wolf,"['whenev self attack , creatur W control gain menac W end W turn .', 'undi']"
Deadly Wanderings,"['W long W W control exactli one creatur , W creatur get +2/+0 W W deathtouch W lifelink .']"
Surveilling Sprite,"['fli', 'W self die , W may draw W card .']"
Goblin Lookout,"['{ W } , sacrific W goblin : goblin creatur get +2/+0 W end W turn .']"
Cunning Lethemancer,"['W W begin W W upkeep , W player discard W card .']"
Bee Sting,['self deal 2 damag W W target .']
Skewer the Critics,"['spectacl { r }', 'self deal 3 damag W W target .']"
Domesticated Hydra,"['{ x } { g } { g } { g } : monstros x .', 'W long W self W monstrou , W W trampl .']"
Oona's Gatewarden,"['defend , fli', 'wither']"
Temple of Enlightenment,"['self enter W battlefield tap .', 'W self enter W battlefield , scri 1 .', '{ W } : add { w } W { u } .']"
Avacyn's Collar,"['equip creatur get +1/+0 W W vigil .', 'whenev equip creatur die , W W W W human , creat W 1/1 white spirit creatur token W fli .', 'equip { 2 }']"
Chant of Vitu-Ghazi,"['convok', 'prevent W damag W would W dealt W creatur W turn . W gain life equal W W damag prevent W way .']"
Daughter of Autumn,['{ w } : W next 1 damag W would W dealt W target white creatur W turn W dealt W self instead .']
Wind-Scarred Crag,"['self enter W battlefield tap .', 'W self enter W battlefield , W gain 1 life .', '{ W } : add { r } W { w } .']"
Hedgewitch's Mask,"['equip creatur get +1/+1 .', ""equip creatur ca n't W block W creatur W power 4 W greater ."", 'equip { 2 }']"
Prava of the Steel Legion,"[""W long W W 's W turn , creatur token W control get +1/+4 ."", '{ 3 } { w } : creat W 1/1 white soldier creatur token .', 'partner']"
Harvester Druid,['{ W } : add one mana W W color W W land W control could produc .']
Eye for an Eye,"[""W next time W sourc W W choic would deal damag W W W turn , instead W sourc deal W much damag W W W self deal W much damag W W sourc 's control .""]"
Glittering Stockpile,"['{ W } : add { r } . put W stash counter W self .', '{ W } , sacrific self : add x mana W W one color , W x W W number W stash counter W self .']"
Shimmering Efreet,"['fli', 'phase', 'whenev self phase W , target creatur phase W .']"
Force of Virtue,"[""W W 's W W turn , W may exil W white card W W hand rather W pay W spell 's mana cost ."", 'flash', 'creatur W control get +1/+1 .']"
Vindictive Mob,"['W self enter W battlefield , sacrific W creatur .', ""self ca n't W block W saprol .""]"
Alms,"['{ 1 } , exil W top card W W graveyard : prevent W next 1 damag W would W dealt W target creatur W turn .']"
Dragon's Eye Savants,"['morph—rev W blue card W W hand .', ""W self W turn face W , look W target oppon 's hand .""]"
Rotten Reunion,"['exil W W one target card W W graveyard . creat W 2/2 black zombi creatur token W decay .', 'flashback { 1 } { b }']"
Goblin General,"['whenev self attack , goblin creatur W control get +1/+1 W end W turn .']"
Short Sword,"['equip creatur get +1/+1 .', 'equip { 1 }']"
Hagra Mauling // Hagra Broodpit,[]
Fungal Sprouting,"['creat x 1/1 green saprol creatur token , W x W W greatest power among creatur W control .']"
Rancid Earth,"['destroy target land .', 'threshold — W seven W W card W W W graveyard , instead destroy W land W self deal 1 damag W W creatur W W player .']"
Ichorid,"['hast', 'W W begin W W end step , sacrific self .', 'W W begin W W upkeep , W self W W W graveyard , W may exil W black creatur card W W self W W graveyard . W W W , return self W W battlefield .']"
Leyline of Lightning,"['W self W W W open hand , W may begin W game W W W W battlefield .', 'whenev W cast W spell , W may pay { 1 } . W W W , self deal 1 damag W target player W planeswalk .']"
Leonin Snarecaster,"['W self enter W battlefield , W may tap target creatur .']"
Amnesia,['target player reveal W hand W discard W non-land card .']
Cloak of Feathers,"['target creatur gain fli W end W turn .', 'draw W card .']"
Troublesome Spirit,"['fli', 'W W begin W W end step , tap W land W control .']"
Glowering Rogon,['amplifi 1']
Court Hussar,"['vigil', 'W self enter W battlefield , look W W top three card W W librari , W put one W W W W hand W W rest W W bottom W W librari W W order .', 'W self enter W battlefield , sacrific W unless { w } W spent W cast W .']"
Trapped in the Tower,"['enchant creatur without fli', ""enchant creatur ca n't attack W block , W W activ abil ca n't W activ .""]"
Sagu Mauler,"['trampl , hexproof', 'morph { 3 } { g } { u }']"
"Halvar, God of Battle // Sword of the Realms",[]
Rootrunner,"[""{ g } { g } , sacrific self : put target land W top W W owner 's librari ."", 'soulshift 3']"
Furnace Scamp,"['whenev self deal combat damag W W player , W may sacrific W . W W W , self deal 3 damag W W player .']"
Abbot of Keral Keep,"['prowess', 'W self enter W battlefield , exil W top card W W librari . W end W turn , W may play W card .']"
Ethereal Forager,"['delv', 'fli', ""whenev self attack , W may return W instant W sorceri card exil W self W W owner 's hand .""]"
Volrath's Laboratory,"['W self enter W battlefield , choos W color W W creatur type .', '{ 5 } , { W } : creat W 2/2 creatur token W W chosen color W type .']"
Dragon Fangs,"['enchant creatur', 'enchant creatur get +1/+1 W W trampl .', 'W W creatur W mana valu 6 W greater enter W battlefield , W may return self W W graveyard W W battlefield attach W W creatur .']"
Jeering Homunculus,"['W self enter W battlefield , W may goad target creatur .']"
Elemental Resonance,"['enchant perman', ""W W begin W W precombat main phase , add mana equal W enchant perman 's mana cost .""]"
Alaundo the Seer,"[""{ W } : draw W card , W exil W card W W hand W put W number W time counter W W equal W W mana valu . W gain `` W W last time counter W remov W W card , W W 's exil , W may cast W without pay W mana cost . W W cast W creatur spell W way , W gain hast W end W turn . '' W remov W time counter W W W card W W W exil .""]"
Armament Master,['W kor creatur W control get +2/+2 W W equip attach W self .']
"Yidaro, Wandering Monster","['trampl , hast', 'cycl { 1 } { r }', ""W W cycl self , shuffl W W W librari W W graveyard . W W 've cycl W card name name_yidaro__wandering_monst four W W time W game , put W onto W battlefield W W graveyard instead .""]"
Krark-Clan Shaman,['sacrific W artifact : self deal 1 damag W W creatur without fli .']
"Killian, Ink Duelist","['lifelink', 'menac', 'spell W cast W target W creatur cost { 2 } less W cast .']"
Force of Savagery,['trampl']
Aerie Mystics,"['fli', '{ 1 } { g } { u } : creatur W control gain shroud W end W turn .']"
Medicine Runner,"['W self enter W battlefield , W may remov W counter W target perman .']"
Galvanoth,"[""W W begin W W upkeep , W may look W W top card W W librari . W may cast W without pay W mana cost W W 's W instant W sorceri spell .""]"
Skaab Wrangler,['tap three untap creatur W control : tap target creatur .']
Lambholt Pacifist // Lambholt Butcher,[]
Drought,"['W W begin W W upkeep , sacrific self unless W pay { w } { w } .', ""spell cost W addit `` sacrific W swamp '' W cast W W black mana symbol W W mana cost ."", ""activ abil cost W addit `` sacrific W swamp '' W activ W W black mana symbol W W activ cost .""]"
Indomitable Archangel,"['fli', 'metalcraft — artifact W control W shroud W long W W control three W W artifact .']"
Devotee of Strength,['{ 4 } { g } : target creatur get +2/+2 W end W turn .']
Grave-Shell Scarab,"['{ 1 } , sacrific self : draw W card .', 'dredg 1']"
Bloodscent,['W creatur abl W block target creatur W turn W W .']
Tornado,"['cumul upkeep { g }', '{ 2 } { g } , pay 3 life W W veloc counter W self : destroy target perman W put W veloc counter W self . activ W W W turn .']"
Arcane Lighthouse,"['{ W } : add { c } .', ""{ 1 } , { W } : W end W turn , creatur W oppon control lose hexproof W shroud W ca n't W hexproof W shroud .""]"
Scrounger of Souls,['lifelink']
Traveler's Cloak,"['enchant creatur', 'W self enter W battlefield , choos W land type .', 'W self enter W battlefield , draw W card .', 'enchant creatur W landwalk W W chosen type .']"
Goblin Charbelcher,"['{ 3 } , { W } : reveal card W W top W W librari W W reveal W land card . self deal damag equal W W number W non-land card reveal W way W W target . W W reveal land card W W mountain , self deal doubl W damag instead . put W reveal card W W bottom W W librari W W order .']"
Irrigation Ditch,"['self enter W battlefield tap .', '{ W } : add { w } .', '{ W } , sacrific self : add { g } { u } .']"
Dwarfhold Champion,"['W long W self W equip , W get +0/+2 .']"
Awaken the Erstwhile,"['W player discard W W card W W hand , W creat W mani 2/2 black zombi creatur token .']"
Renowned Weaver,"['{ 1 } { g } , sacrific self : creat W 1/3 green spider enchant creatur token W reach .']"
Sludge Crawler,"['devoid', 'ingest', '{ 2 } : self get +1/+1 W end W turn .']"
Kulrath Knight,"['fli', 'wither', ""creatur W oppon control W counter W W ca n't attack W block .""]"
Valkyrie's Sword,"['W self enter W battlefield , W may pay { 4 } { w } . W W W , creat W 4/4 white angel warrior creatur token W fli W vigil , W attach self W W .', 'equip creatur get +2/+1 .', 'equip { 3 }']"
Akroma's Memorial,"['creatur W control W fli , first strike , vigil , trampl , hast , W protect W black W W red .']"
Koth's Courier,['forestwalk']
Rivals' Duel,['choos two target creatur W share W creatur type . W creatur fight W W .']
Phyrexian Etchings,"['cumul upkeep { b }', 'W W begin W W end step , draw W card W W age counter W self .', 'W self W put W W graveyard W W battlefield , W lose 2 life W W age counter W W .']"
Thromok the Insatiable,"['devour x , W x W W number W creatur devour W way']"
Mortician Beetle,"['whenev W player sacrific W creatur , W may put W +1/+1 counter W self .']"
Trigon of Mending,"['self enter W battlefield W three charg counter W W .', '{ w } { w } , { W } : put W charg counter W self .', '{ 2 } , { W } , remov W charg counter W self : target player gain 3 life .']"
Oath of Gideon,"['W self enter W battlefield , creat two 1/1 white kor alli creatur token .', 'W planeswalk W control enter W battlefield W W addit loyalti counter W W .']"
Axgard Cavalry,['{ W } : target creatur gain hast W end W turn .']
Pollen Remedy,"['kicker—sacrific W land .', 'prevent W next 3 damag W would W dealt W turn W W number W target , divid W W choos . W W spell W kick , prevent W next 6 damag W way instead .']"
Reckless Spite,['destroy two target non-black creatur . W lose 5 life .']
Leech Gauntlet,"['lifelink', 'equip creatur W lifelink .', 'reconfigur { 4 }']"
Necratog,['exil W top creatur card W W graveyard : self get +2/+2 W end W turn .']
"Kalamax, the Stormsire","['whenev W cast W first instant spell W turn , W self W tap , copi W spell . W may choos new target W W copi .', 'whenev W copi W instant spell , put W +1/+1 counter W self .']"
Pithing Needle,"['W self enter W battlefield , choos W card name .', ""activ abil W sourc W W chosen name ca n't W activ unless W 're mana abil .""]"
Death Cloud,"['W player lose x life , discard x card , sacrific x creatur , W sacrific x land .']"
Archfiend of Ifnir,"['fli', 'whenev W cycl W discard anoth card , put W -1/-1 counter W W creatur W oppon control .', 'cycl { 2 }']"
Ratcatcher,"['fear', 'W W begin W W upkeep , W may search W librari W W rat card , reveal W , put W W W hand , W shuffl .']"
Sanguine Bond,"['whenev W gain life , target oppon lose W much life .']"
Vivien's Arkbow,"['{ x } , { W } , discard W card : look W W top x card W W librari . W may put W creatur card W mana valu x W less W among W onto W battlefield . put W rest W W bottom W W librari W W random order .']"
Tor Wauki,['{ W } : self deal 2 damag W target attack W block creatur .']
Panic,"['cast W spell W W combat W blocker W declar .', ""target creatur ca n't block W turn ."", ""draw W card W W begin W W next turn 's upkeep .""]"
Lightning Mauler,"['soulbond', 'W long W self W pair W anoth creatur , W creatur W hast .']"
Nest of Scarabs,"['whenev W put one W W -1/-1 counter W W creatur , creat W mani 1/1 black insect creatur token .']"
Waste Not,"['whenev W oppon discard W creatur card , creat W 2/2 black zombi creatur token .', 'whenev W oppon discard W land card , add { b } { b } .', 'whenev W oppon discard W non-creatur , non-land card , draw W card .']"
Grim Strider,['self get -1/-1 W W card W W hand .']
Darigaaz's Charm,"['choos one —', '• return target creatur card W W graveyard W W hand .', '• self deal 3 damag W W target .', '• target creatur get +3/+3 W end W turn .']"
Katabatic Winds,"['phase', ""creatur W fli ca n't attack W block , W W activ abil W { W } W W cost ca n't W activ .""]"
Sandstone Deadfall,"['{ W } , sacrific two land W self : destroy target attack creatur .']"
Reverent Hunter,"['W self enter W battlefield , put W number W +1/+1 counter W W equal W W devot W green .']"
Academy Ruins,"['{ W } : add { c } .', '{ 1 } { u } , { W } : put target artifact card W W graveyard W top W W librari .']"
Ransack,"[""look W W top five card W target player 's librari . put W number W W W W bottom W W librari W W order W W rest W top W W librari W W order .""]"
Gruul Guildgate,"['self enter W battlefield tap .', '{ W } : add { r } W { g } .']"
Cellar Door,"[""{ 3 } , { W } : target player put W bottom card W W librari W W graveyard . W W 's W creatur card , W creat W 2/2 black zombi creatur token .""]"
Thirst for Meaning,['draw three card . W discard two card unless W discard W enchant card .']
Shield of the Avatar,"['W W sourc would deal damag W equip creatur , prevent x W W damag , W x W W number W creatur W control .', 'equip { 2 }']"
Life // Death,[]
Paragon of Eternal Wilds,"['W green creatur W control get +1/+1 .', '{ g } , { W } : anoth target green creatur W control gain trampl W end W turn .']"
Viscera Seer,['sacrific W creatur : scri 1 .']
Ingenious Thief,"['fli', ""W self enter W battlefield , look W target player 's hand .""]"
Lavastep Raider,['{ 2 } { r } : self get +2/+0 W end W turn .']
Thing from the Deep,"['whenev self attack , sacrific W unless W sacrific W island .']"
Threnody Singer,"['flash', 'fli', 'W self enter W battlefield , target creatur W oppon control get -x/-0 W end W turn , W x W W devot W blue .']"
Auriok Glaivemaster,"['W long W self W equip , W get +1/+1 W W first strike .']"
Wild Cantor,"['', 'sacrific self : add one mana W W color .']"
"Anowon, the Ruin Thief","['W rogu W control get +1/+1 .', 'whenev one W W rogu W control deal combat damag W W player , W player mill W card W W 1 damag dealt W W . W W player mill W least one creatur card W way , W draw W card .']"
Planar Portal,"['{ 6 } , { W } : search W librari W W card , put W card W W hand , W shuffl .']"
Lurking Jackals,"['W W oppon W 10 W less life , W self W W enchant , W becom W 3/2 jackal creatur .']"
Talisman of Indulgence,"['{ W } : add { c } .', '{ W } : add { b } W { r } . self deal 1 damag W W .']"
Fangren Firstborn,"['whenev self attack , put W +1/+1 counter W W attack creatur .']"
Tariff,"[""W player sacrific W creatur W control W W highest mana valu unless W pay W creatur 's mana cost . W two W W creatur W player control W tie W highest , W player choos one .""]"
Illicit Auction,"['W player may bid life W control W target creatur . W start W bid W W bid W 0. W turn order , W player may top W high bid . W bid end W W high bid stand . W high bidder lose life equal W W high bid W gain control W W creatur .']"
Baldur's Gate,"['{ W } : add { c } .', '{ 2 } , { W } : add x mana W W one color , W x W W number W W gate W control .']"
Carrion Crow,"['fli', 'self enter W battlefield tap .']"
Haphazard Bombardment,"[""W self enter W battlefield , choos four non-enchant perman W W n't control W put W aim counter W W W W ."", ""W W begin W W end step , W two W W perman W W n't control W W aim counter W W , destroy one W W perman W random .""]"
Unwind,['counter target non-creatur spell . untap W W three land .']
Celestial Prism,"['{ 2 } , { W } : add one mana W W color .']"
Volcanic Spray,"['self deal 1 damag W W creatur without fli W W player .', 'flashback { 1 } { r }']"
"Shatterskull Smashing // Shatterskull, the Hammer Pass",[]
Rift Sower,"['{ W } : add one mana W W color .', 'suspend 2— { g }']"
Reliquary Monk,"['W self die , destroy target artifact W enchant .']"
Dragon Tempest,"['whenev W creatur W fli enter W battlefield W W control , W gain hast W end W turn .', 'whenev W dragon enter W battlefield W W control , W deal x damag W W target , W x W W number W dragon W control .']"
War Flare,['creatur W control get +2/+1 W end W turn . untap W creatur .']
Tenuous Truce,"['enchant oppon', ""W W begin W enchant oppon 's end step , W W W player W draw W card ."", 'W W attack enchant oppon W W planeswalk W control W W W attack W W W planeswalk W control , sacrific self .']"
Protector of the Crown,"['W self enter W battlefield , W becom W monarch .', 'W damag W would W dealt W W W dealt W self instead .']"
Goblin Bomb,"['W W begin W W upkeep , W may flip W coin . W W win W flip , put W fuse counter W self . W W lose W flip , remov W fuse counter W self .', 'remov five fuse counter W self W sacrific W : W deal 20 damag W target player W planeswalk .']"
Vizier of the Scorpion,"['W self enter W battlefield , amass 1 .', 'zombi token W control W deathtouch .']"
Belltoll Dragon,"['fli , hexproof', 'megamorph { 5 } { u } { u }', 'W self W turn face W , put W +1/+1 counter W W W dragon creatur W control .']"
Slice in Twain,"['destroy target artifact W enchant .', 'draw W card .']"
"Kangee, Sky Warden","['fli , vigil', 'whenev self attack , attack creatur W fli get +2/+0 W end W turn .', 'whenev self block , block creatur W fli get +0/+2 W end W turn .']"
Soul Manipulation,"['choos one W W —', '• counter target creatur spell .', '• return target creatur card W W graveyard W W hand .']"
Brutal Hordechief,"['whenev W creatur W control attack , defend player lose 1 life W W gain 1 life .', '{ 3 } { r/w } { r/w } : creatur W oppon control block W turn W abl , W W choos W W creatur block .']"
Noble Benefactor,"['W self die , W player may search W librari W W card W put W card W W hand . W W player W search W librari W way shuffl .']"
Axelrod Gunnarson,"['trampl', 'whenev W creatur dealt damag W self W turn die , W gain 1 life W self deal 1 damag W target player W planeswalk .']"
Ghost-Lit Raider,"['{ 2 } { r } , { W } : self deal 2 damag W target creatur .', 'channel — { 3 } { r } , discard self : W deal 4 damag W target creatur .']"
Price of Knowledge,"['player W W maximum hand size .', ""W W begin W W oppon 's upkeep , self deal damag W W player equal W W number W card W W player 's hand .""]"
Thieving Sprite,"['fli', 'W self enter W battlefield , target player reveal x card W W hand , W x W W number W faeri W control . W choos one W W card . W player discard W card .']"
Extract,"[""search target player 's librari W W card W exil W . W W player shuffl .""]"
Skirk Commando,"['whenev self deal combat damag W W player , W may W W deal 2 damag W target creatur W player control .', 'morph { 2 } { r }']"
"Ganax, Astral Hunter","['fli', 'whenev self W anoth dragon enter W battlefield W W control , creat W treasur token .', 'choos W background']"
Nest Invader,"[""W self enter W battlefield , creat W 0/1 colorless eldrazi spawn creatur token . W W `` sacrific W creatur : add { c } . ''""]"
Honden of Seeing Winds,"['W W begin W W upkeep , draw W card W W shrine W control .']"
Landbind Ritual,['W gain 2 life W W plain W control .']
Drillworks Mole,"['{ 2 } , { W } : put W +1/+1 counter W self W W +1/+1 counter W W W one target command creatur W control .']"
Deadlock Trap,"['self enter W battlefield tap .', 'W self enter W battlefield , W get { e } { e } .', ""{ W } , pay { e } : tap target creatur W planeswalk . W activ abil ca n't W activ W turn .""]"
Underdark Rift,"['{ W } : add { c } .', ""{ 5 } , { W } , exil self : roll W d10 . put target artifact , creatur , W planeswalk W W owner 's librari W beneath W top x card W W librari , W x W W result . activ W W W sorceri .""]"
Blood Reckoning,"[""whenev W creatur attack W W W planeswalk W control , W creatur 's control lose 1 life .""]"
Captured by the Consulate,"[""enchant creatur W W n't control"", ""enchant creatur ca n't attack ."", 'whenev W oppon cast W spell , W W W W singl target , chang W target W enchant creatur W abl .']"
Eaten Alive,"['W W addit cost W cast W spell , sacrific W creatur W pay { 3 } { b } .', 'exil target creatur W planeswalk .']"
Kefnet's Monument,"['blue creatur spell W cast cost { 1 } less W cast .', ""whenev W cast W creatur spell , target creatur W oppon control W n't untap W W control 's next untap step .""]"
Catacomb Slug,[]
Vampire Opportunist,['{ 6 } { b } : W oppon lose 2 life W W gain 2 life .']
Cruel Revival,"[""destroy target non-zombi creatur . W ca n't W regener . return W W one target zombi card W W graveyard W W hand .""]"
Szat's Will,"['choos one . W W control W command W W cast W spell , W may choos W .', '• W oppon sacrific W creatur W control W W greatest power .', ""• exil W oppon ' graveyard , W creat x 0/1 black thrull creatur token , W x W W greatest power among creatur card exil W way .""]"
Dawnhart Disciple,"['whenev anoth human enter W battlefield W W control , self get +1/+1 W end W turn .']"
Elite Skirmisher,"['heroic — whenev W cast W spell W target self , W may tap target creatur .']"
Evolution Sage,"['whenev W land enter W battlefield W W control , prolifer .']"
Electropotence,"['whenev W creatur enter W battlefield W W control , W may pay { 2 } { r } . W W W , W creatur deal damag equal W W power W W target .']"
Razortip Whip,"['{ 1 } , { W } : self deal 1 damag W target oppon W planeswalk .']"
Bounty Hunter,"['{ W } : put W bounti counter W target non-black creatur .', '{ W } : destroy target creatur W W bounti counter W W .']"
Angel of Fury,"['fli', ""W self die , W may shuffl W W W owner 's librari .""]"
Feed the Pack,"[""W W begin W W end step , W may sacrific W non-token creatur . W W W , creat x 2/2 green wolf creatur token , W x W W sacrif creatur 's tough .""]"
"Neheb, the Eternal","['afflict 3', 'W W begin W W postcombat main phase , add { r } W W 1 life W oppon W lost W turn .']"
Gargoyle Castle,"['{ W } : add { c } .', '{ 5 } , { W } , sacrific self : creat W 3/4 colorless gargoyl artifact creatur token W fli .']"
Realm Seekers,"[""self enter W battlefield W x +1/+1 counter W W , W x W W total number W card W W player ' hand ."", '{ 2 } { g } , remov W +1/+1 counter W self : search W librari W W land card , reveal W , put W W W hand , W shuffl .']"
Lifebane Zombie,"['intimid', 'W self enter W battlefield , target oppon reveal W hand . W choos W green W white creatur card W W W exil W card .']"
Legions of Lim-Dûl,['snow swampwalk']
March of the Returned,['return W W two target creatur card W W graveyard W W hand .']
Willbreaker,"['whenev W creatur W oppon control becom W target W W spell W abil W control , gain control W W creatur W W long W W control self .']"
Raven Guild Master,"['whenev self deal combat damag W W player , W player exil W top ten card W W librari .', 'morph { 2 } { u } { u }']"
Defiant Bloodlord,"['fli', 'whenev W gain life , target oppon lose W much life .']"
Arcanist's Owl,"['fli', 'W self enter W battlefield , look W W top four card W W librari . W may reveal W artifact W enchant card W among W W put W W W hand . put W rest W W bottom W W librari W W random order .']"
Desert Drake,['fli']
Zof Consumption // Zof Bloodbog,[]
Lumbering Battlement,"['vigil', 'W self enter W battlefield , exil W number W W non-token creatur W control W W leav W battlefield .', 'self get +2/+2 W W card exil W W .']"
Healing Hands,"['target player gain 4 life .', 'draw W card .']"
Fleeting Aven,"['fli', ""whenev W player cycl W card , return self W W owner 's hand .""]"
Hellcarver Demon,"['fli', 'whenev self deal combat damag W W player , sacrific W W perman W control W discard W hand . exil W top six card W W librari . W may cast W number W spell W among card exil W way without pay W mana cost .']"
Territorial Kavu,"[""domain — self 's power W tough W W equal W W number W basic land type among land W control ."", 'whenev self attack , choos one —', '• discard W card . W W W , draw W card .', '• exil W W one target card W W graveyard .']"
Confessor,"['whenev W player discard W card , W may gain 1 life .']"
Karn Liberated,"['+4 : target player exil W card W W hand .', '-3 : exil target perman .', '-14 : restart W game , leav W exil W non-aura perman card exil W self . W put W card onto W battlefield W W control .']"
God-Favored General,"['inspir — whenev self becom untap , W may pay { 2 } { w } . W W W , creat two 1/1 white soldier enchant creatur token .']"
Dissipation Field,"[""whenev W perman deal damag W W , return W W W owner 's hand .""]"
Schismotivate,['target creatur get +4/+0 W end W turn . anoth target creatur get -4/-0 W end W turn .']
Living Wish,['W may reveal W creatur W land card W W W outsid W game W put W W W hand . exil self .']
Nested Shambler,"[""W self die , creat x tap 1/1 green squirrel creatur token , W x W self 's power .""]"
Wirewood Hivemaster,"['whenev anoth non-token elf enter W battlefield , W may creat W 1/1 green insect creatur token .']"
Emblazoned Golem,"['kicker { x }', 'spend W color mana W x. W W W one mana W W color may W spent W way .', 'W self W kick , W enter W battlefield W x +1/+1 counter W W .']"
Peerless Samurai,"['menac', 'whenev W samurai W warrior W control attack alon , W next spell W cast W turn cost { 1 } less W cast .']"
Hero of the Nyxborn,"['W self enter W battlefield , creat W 1/1 white human soldier creatur token .', 'whenev W cast W spell W target self , creatur W control get +1/+0 W end W turn .']"
Teysa Karlov,"['W W creatur die caus W trigger abil W W perman W control W trigger , W abil trigger W addit time .', 'creatur token W control W vigil W lifelink .']"
Elvish Handservant,"['whenev W player cast W giant spell , W may put W +1/+1 counter W self .']"
